Year,Population
2023,45773884
2022,45510318
2021,45276780
2020,45036032
2019,44745520
2018,44413596
2017,44054616
2016,43668241
2015,43257065
2014,42824054
2013,42388269
2012,41952365
2011,41520740
2010,41100123
2009,40684338
2008,40273769
2007,39876111
2006,39476851
2005,39070501
2004,38668796
2003,38278164
2002,37885028
2001,37480493
2000,37070774
1999,36653031
1998,36233195
1997,35815971
1996,35389362
1995,34946110
1994,34488696
1993,34027240
1992,33568285
1991,33105763
1990,32637657
1989,32165766
1988,31690792
1987,31216453
1986,30748326
1985,30287112
1984,29832197
1983,29377137
1982,28922762
1981,28471285
1980,28024803
1979,27584134
1978,27146121
1977,26713780
1976,26290257
1975,25875558
1974,25449754
1973,25020588
1972,24612794
1971,24223379
1970,23842803
1969,23472028
1968,23112971
1967,22757014
1966,22403116
1965,22053661
1964,21708487
1963,21364017
1962,21020359
1961,20680653
1960,20349744
1959,20024524
1958,19695352
1957,19363786
1956,19031192
1955,18700686
1954,18369249
1953,18032740
1952,17693853
1951,17354612
1950,17017742
