Year,Population
2023,26439111
2022,26177413
2021,25921089
2020,25670051
2019,25357170
2018,24979230
2017,24590334
2016,24195701
2015,23820236
2014,23469579
2013,23111782
2012,22729269
2011,22357034
2010,22019168
2009,21660892
2008,21247873
2007,20830828
2006,20467030
2005,20171731
2004,19925056
2003,19698999
2002,19475844
2001,19248143
2000,19017963
1999,18800892
1998,18601667
1997,18410250
1996,18211845
1995,18002999
1994,17805504
1993,17631511
1992,17462504
1991,17271086
1990,17048003
1989,16796588
1988,16525903
1987,16259249
1986,16012299
1985,15785682
1984,15579476
1983,15383076
1982,15168445
1981,14930052
1980,14706322
1979,14520527
1978,14355814
1977,14193365
1976,14038072
1975,13886854
1974,13713388
1973,13513318
1972,13300308
1971,12993834
1970,12595034
1969,12268349
1968,12027262
1967,11809110
1966,11592675
1965,11359442
1964,11131609
1963,10917375
1962,10711941
1961,10505938
1960,10286647
1959,10065683
1958,9853146
1957,9644191
1956,9429810
1955,9209844
1954,9003370
1953,8819165
1952,8632792
1951,8419830
1950,8177167
