Year,Population
2023,38781291
2022,38454327
2021,38155012
2020,37888705
2019,37522584
2018,37035254
2017,36554348
2016,36113532
2015,35732126
2014,35404608
2013,35063691
2012,34691878
2011,34323531
2010,33963412
2009,33593917
2008,33218541
2007,32862459
2006,32531867
2005,32215916
2004,31911668
2003,31619450
2002,31322398
2001,31002763
2000,30683313
1999,30399778
1998,30144812
1997,29882752
1996,29593849
1995,29289423
1994,28981189
1993,28668166
1992,28347641
1991,28015761
1990,27657204
1989,27244406
1988,26815064
1987,26436889
1986,26116071
1985,25843922
1984,25602075
1983,25360726
1982,25101518
1981,24815786
1980,24511510
1979,24219124
1978,23962690
1977,23715308
1976,23442114
1975,23136252
1974,22812432
1973,22502029
1972,22222221
1971,21888679
1970,21434577
1969,21033940
1968,20731929
1967,20408050
1966,20055232
1965,19688805
1964,19326326
1963,18971005
1962,18622345
1961,18273684
1960,17909356
1959,17524906
1958,17113389
1957,16650052
1956,16167047
1955,15733923
1954,15323201
1953,14901525
1952,14485745
1951,14085724
1950,13743069
