Year,Population
2023,64756584
2022,64626628
2021,64531444
2020,64480053
2019,64399759
2018,64277808
2017,64144086
2016,63989319
2015,63809769
2014,63588491
2013,63335180
2012,63071416
2011,62775268
2010,62444567
2009,62093296
2008,61721009
2007,61329376
2006,60919150
2005,60510079
2004,60108438
2003,59728262
2002,59372786
2001,59014772
2000,58665453
1999,58352208
1998,58080344
1997,57839363
1996,57623178
1995,57420354
1994,57230065
1993,57053732
1992,56864048
1991,56645215
1990,56412897
1989,56169948
1988,55911478
1987,55641541
1986,55371639
1985,55108106
1984,54845980
1983,54592379
1982,54319646
1981,54016749
1980,53713830
1979,53428781
1978,53175309
1977,52925442
1976,52685266
1975,52450030
1974,52163552
1973,51814075
1972,51410363
1971,50970698
1970,50523586
1969,50087049
1968,49647279
1967,49181410
1966,48683086
1965,48168804
1964,47641952
1963,47121247
1962,46635189
1961,46143030
1960,45659575
1959,45201849
1958,44754358
1957,44338091
1956,43959221
1955,43593851
1954,43225643
1953,42883297
1952,42542401
1951,42196657
1950,41842355
