Year,Population
2023,83294633
2022,83369843
2021,83408554
2020,83328988
2019,83148141
2018,82896696
2017,82624374
2016,82331423
2015,82073226
2014,81858825
2013,81680591
2012,81545565
2011,81423378
2010,81325090
2009,81260615
2008,81217482
2007,81183830
2006,81177817
2005,81212168
2004,81266673
2003,81346810
2002,81443427
2001,81514568
2000,81551677
1999,81556965
1998,81524383
1997,81436087
1996,81300865
1995,81123262
1994,80882126
1993,80573488
1992,80205030
1991,79801988
1990,79370196
1989,78916438
1988,78477530
1987,78090895
1986,77803357
1985,77638808
1984,77568572
1983,77566064
1982,77610430
1981,77684489
1980,77786703
1979,77915727
1978,78071549
1977,78221272
1976,78364216
1975,78513511
1974,78620534
1973,78667466
1972,78643556
1971,78511398
1970,78294583
1969,78012485
1968,77646126
1967,77173553
1966,76618716
1965,76037469
1964,75423245
1963,74796217
1962,74194417
1961,73604346
1960,73063695
1959,72578945
1958,72136470
1957,71771634
1956,71473269
1955,71222628
1954,71020731
1953,70879443
1952,70808373
1951,70820042
1950,70964095
