Year,Population
2023,58870762
2022,59037474
2021,59240329
2020,59500579
2019,59727932
2018,59877425
2017,60004032
2016,60118626
2015,60232906
2014,60322791
2013,60312599
2012,60190145
2011,60025952
2010,59822450
2009,59562841
2008,59224228
2007,58778482
2006,58429903
2005,58199876
2004,57860661
2003,57425175
2002,57107577
2001,56994993
2000,56966397
1999,56945068
1998,56938738
1997,56925800
1996,56898973
1995,56885126
1994,56883819
1993,56869454
1992,56833185
1991,56794489
1990,56756561
1989,56711524
1988,56670888
1987,56644530
1986,56639054
1985,56636465
1984,56620238
1983,56607516
1982,56585843
1981,56532910
1980,56329482
1979,56070678
1978,55877016
1977,55649667
1976,55388902
1975,55093989
1974,54750683
1973,54379582
1972,53995422
1971,53636099
1970,53324036
1969,53001503
1968,52661070
1967,52294442
1966,51882571
1965,51452854
1964,50997776
1963,50555128
1962,50162245
1961,49812730
1960,49517707
1959,49224675
1958,48930469
1957,48660253
1956,48403438
1955,48130728
1954,47833768
1953,47412139
1952,47016485
1951,46750760
1950,46391938
