Year,Population
2023,123294513
2022,123951692
2021,124612530
2020,125244761
2019,125791677
2018,126255866
2017,126662472
2016,126993857
2015,127250933
2014,127476735
2013,127678924
2012,127853688
2011,128007257
2010,128105431
2009,128117042
2008,128077633
2007,128006426
2006,127902167
2005,127798373
2004,127671288
2003,127502352
2002,127301750
2001,127065731
2000,126803861
1999,126555063
1998,126308390
1997,126027985
1996,125726223
1995,125433969
1994,125119269
1993,124779576
1992,124444693
1991,124073993
1990,123686321
1989,123270648
1988,122798302
1987,122268885
1986,121710305
1985,121119031
1984,120470727
1983,119793752
1982,119098142
1981,118385723
1980,117624196
1979,116765509
1978,115809525
1977,114761516
1976,113624865
1975,112411640
1974,111100023
1973,109679470
1972,108220404
1971,106789355
1970,105416839
1969,104102077
1968,102819279
1967,101527852
1966,100466907
1965,99468746
1964,98319344
1963,97246712
1962,96267883
1961,95355458
1960,94464839
1959,93575985
1958,92671295
1957,91837665
1956,91021560
1955,90090281
1954,89093019
1953,88057140
1952,86921764
1951,85683474
1950,84353049
