Year,Population
2023,41026067
2022,39857145
2021,38307726
2020,38428366
2019,38493601
2018,38521457
2017,38532812
2016,38532113
2015,38553146
2014,38581872
2013,38607353
2012,38625874
2011,38620847
2010,38597353
2009,38555285
2008,38522882
2007,38521874
2006,38547179
2005,38575911
2004,38596042
2003,38621531
2002,38647476
2001,38662862
2000,38504431
1999,38354956
1998,38379990
1997,38396130
1996,38401408
1995,38401978
1994,38375459
1993,38319296
1992,38252276
1991,38167382
1990,38064255
1989,37939013
1988,37812076
1987,37654411
1986,37436798
1985,37179160
1984,36876560
1983,36536141
1982,36188644
1981,35851094
1980,35521429
1979,35188357
1978,34870698
1977,34561582
1976,34229706
1975,33899770
1974,33578683
1973,33270009
1972,32979398
1971,32710744
1970,32482943
1969,32262057
1968,32016870
1967,31765963
1966,31504832
1965,31224081
1964,30927873
1963,30608319
1962,30271919
1961,29913232
1960,29509903
1959,29068120
1958,28583989
1957,28076084
1956,27582025
1955,27099199
1954,26630354
1953,26168161
1952,25704541
1951,25242274
1950,24786236
