Year,Population
2023,36947025
2022,36408820
2021,35950396
2020,35997107
2019,35827362
2018,35018133
2017,34193122
2016,33416270
2015,32749848
2014,32125564
2013,31482498
2012,30821543
2011,30150945
2010,29411929
2009,28483797
2008,27437353
2007,26400068
2006,25382870
2005,24397644
2004,23661808
2003,23150847
2002,22623415
2001,22085929
2000,21547390
1999,21009660
1998,20472580
1997,19938377
1996,19410280
1995,18888857
1994,18367528
1993,17846461
1992,17281350
1991,16654276
1990,16004763
1989,15353227
1988,14713715
1987,14089798
1986,13483349
1985,12890245
1984,12310361
1983,11746020
1982,11201154
1981,10678211
1980,10171710
1979,9682002
1978,9210564
1977,8755219
1976,8319556
1975,7897544
1974,7483506
1973,7088758
1972,6724260
1971,6396658
1970,6106191
1969,5844843
1968,5604582
1967,5381026
1966,5173237
1965,4978922
1964,4795130
1963,4621655
1962,4458516
1961,4306048
1960,4165563
1959,4036568
1958,3916797
1957,3802027
1956,3690028
1955,3581910
1954,3477534
1953,3377019
1952,3279345
1951,3183582
1950,3089693
