Year,Population
2023,51784059
2022,51815810
2021,51830139
2020,51844690
2019,51803829
2018,51676900
2017,51511639
2016,51309984
2015,50994401
2014,50558043
2013,50098229
2012,49634185
2011,49169878
2010,48813042
2009,48588019
2008,48398626
2007,48220601
2006,48049347
2005,47889573
2004,47727285
2003,47539738
2002,47320668
2001,47064790
2000,46788591
1999,46520444
1998,46250259
1997,45962393
1996,45660168
1995,45393418
1994,45165780
1993,44932861
1992,44703709
1991,44487412
1990,44120039
1989,43567512
1988,42988455
1987,42405253
1986,41808708
1985,41232709
1984,40664361
1983,40053748
1982,39403422
1981,38731905
1980,38170501
1979,37737918
1978,37329984
1977,36911298
1976,36456320
1975,35930694
1974,35319338
1973,34659713
1972,33976851
1971,33288369
1970,32601143
1969,31912015
1968,31229630
1967,30540596
1966,29838219
1965,29179407
1964,28555856
1963,27905873
1962,27234470
1961,26552225
1960,25817529
1959,25036097
1958,24256851
1957,23494049
1956,22763457
1955,22075008
1954,21432886
1953,20862396
1952,20393370
1951,20116892
1950,20104010
