Year,Population
2023,47519628
2022,47558630
2021,47486935
2020,47363807
2019,47131372
2018,46792043
2017,46584170
2016,46473315
2015,46431342
2014,46464551
2013,46603459
2012,46756082
2011,46729232
2010,46572772
2009,46367772
2008,45966538
2007,45245782
2006,44422831
2005,43685374
2004,42959666
2003,42230270
2002,41477655
2001,40966450
2000,40741651
1999,40542232
1998,40362357
1997,40180050
1996,39996473
1995,39814573
1994,39623725
1993,39420546
1992,39202251
1991,38997063
1990,38889889
1989,38847318
1988,38781722
1987,38694533
1986,38590808
1985,38471920
1984,38329925
1983,38169760
1982,37982149
1981,37758649
1980,37491666
1979,37188965
1978,36865443
1977,36513082
1976,36139064
1975,35760431
1974,35329897
1973,34898147
1972,34515170
1971,34133622
1970,33792617
1969,33480512
1968,33157581
1967,32814224
1966,32462268
1965,32112015
1964,31747643
1963,31388554
1962,31052630
1961,30711863
1960,30415591
1959,30150510
1958,29857437
1957,29577444
1956,29329776
1955,29095374
1954,28862377
1953,28633539
1952,28404771
1951,28207080
1950,28069694
