Year,Population
2023,23923276
2022,23893394
2021,23859912
2020,23821464
2019,23777737
2018,23726185
2017,23665024
2016,23594471
2015,23512136
2014,23422513
2013,23330334
2012,23234058
2011,23143071
2010,23083083
2009,23044082
2008,22998321
2007,22942308
2006,22874975
2005,22796306
2004,22703099
2003,22593681
2002,22469616
2001,22333125
2000,22194731
1999,22057214
1998,21913672
1997,21764843
1996,21612429
1995,21455813
1994,21293437
1993,21125717
1992,20952222
1991,20770620
1990,20586174
1989,20404386
1988,20211361
1987,19995931
1986,19761790
1985,19511876
1984,19249250
1983,18976104
1982,18692874
1981,18400556
1980,18100281
1979,17793465
1978,17482884
1977,17171482
1976,16860821
1975,16551774
1974,16243905
1973,15933845
1972,15617414
1971,15292065
1970,14957870
1969,14617237
1968,14271112
1967,13917831
1966,13515900
1965,13070708
1964,12630946
1963,12200148
1962,11779051
1961,11371850
1960,10983147
1959,10612773
1958,10256963
1957,9909453
1956,9567049
1955,9229462
1954,8897776
1953,8572131
1952,8251039
1951,7934689
1950,7623130
