Year,Population
2023,67736802
2022,67508936
2021,67281039
2020,67059474
2019,66778659
2018,66432993
2017,66064804
2016,65655203
2015,65224364
2014,64773504
2013,64302297
2012,63808727
2011,63286362
2010,62760039
2009,62243378
2008,61742151
2007,61260676
2006,60803700
2005,60383741
2004,59995851
2003,59649799
2002,59355690
2001,59092016
2000,58850043
1999,58635202
1998,58438321
1997,58250198
1996,58078586
1995,57930364
1994,57785900
1993,57647463
1992,57509240
1991,57359454
1990,57210442
1989,57076099
1988,56952648
1987,56826322
1986,56721909
1985,56643045
1984,56568253
1983,56501612
1982,56450133
1981,56395846
1980,56326328
1979,56265154
1978,56240768
1977,56244840
1976,56263232
1975,56266842
1974,56233776
1973,56166630
1972,56057315
1971,55875903
1970,55650166
1969,55420519
1968,55169244
1967,54876365
1966,54560502
1965,54229565
1964,53861500
1963,53508514
1962,53183630
1961,52861251
1960,52543017
1959,52241647
1958,51960813
1957,51682399
1956,51421613
1955,51193266
1954,50969939
1953,50728620
1952,50484813
1951,50271904
1950,50055065
