Year,Population
2023,339996563
2022,338289857
2021,336997624
2020,335942003
2019,334319671
2018,332140037
2017,329791231
2016,327210198
2015,324607776
2014,322033964
2013,319375166
2012,316651321
2011,313876608
2010,311182845
2009,308512035
2008,305694910
2007,302743399
2006,299753098
2005,296842670
2004,293947885
2003,291109820
2002,288350252
2001,285470493
2000,282398554
1999,279181581
1998,275835018
1997,272395438
1996,268984347
1995,265660556
1994,262273589
1993,258779753
1992,255175339
1991,251560189
1990,248083732
1989,244954094
1988,242287814
1987,239853168
1986,237512783
1985,235146182
1984,232766280
1983,230389964
1982,228001418
1981,225654008
1980,223140018
1979,220463115
1978,217881437
1977,215437405
1976,213270022
1975,211274535
1974,209277968
1973,207314764
1972,205238390
1971,202907917
1970,200328340
1969,197859329
1968,195743427
1967,193782438
1966,191830975
1965,189703283
1964,187277378
1963,184649873
1962,181917809
1961,179087278
1960,176188578
1959,173324608
1958,170147101
1957,166949120
1956,164063411
1955,161136449
1954,158205873
1953,155451199
1952,152941727
1951,150598453
1950,148281550
