Year,afghanistan,albania,algeria,andorra,antigua-and-barbuda,argentina,armenia,aruba,australia,austria,azerbaijan,bahamas,bahrain,barbados,belarus,belgium,belize,benin,bermuda,bosnia,botswana,brazil,brunei,bulgaria,burkina-faso,burundi,canada,central-african-republic,chad,chile,china,colombia,comoros,costa-rica,croatia,cyprus,czech-republic,democratic-republic-of-congo,denmark,dominica,dominican-republic,ecuador,equatorial-guinea,estonia,ethiopia,fiji,finland,france,french-polynesia,gabon,gambia,germany,greece,grenada,guatemala,guinea,guinea-bissau,guyana,haiti,hong-kong,hungary,iceland,iran,iraq,ireland,israel,italy,jamaica,japan,jordan,kazakhstan,latvia,lebanon,libya,lithuania,luxembourg,macao,madagascar,malawi,malaysia,maldives,mali,malta,marshall-islands,mauritius,mexico,monaco,mozambique,namibia,nepal,netherlands,new-caledonia,new-zealand,niger,north-macedonia,norway,oman,palau,panama,paraguay,peru,poland,portugal,puerto-rico,qatar,romania,russia,rwanda,samoa,saudi-arabia,senegal,serbia,seychelles,sierra-leone,singapore,slovak-republic,slovenia,somalia,south-africa,south-korea,spain,st-kitts-and-nevis,st-lucia,st-vincent-and-the-grenadines,suriname,sweden,switzerland,tajikistan,tanzania,thailand,togo,tonga,trinidad-and-tobago,turkey,tuvalu,uae,uganda,united-kingdom,united-states,uruguay,zimbabwe
1991,1.83,1.1,45.72,1.11,0.48,189.72,2.07,0.87,325.99,173.79,8.79,3.11,4.62,2.02,18.0,210.51,0.6,1.99,1.63,1.26,3.94,342.61,3.7,10.94,3.14,1.17,610.33,1.38,1.88,37.83,383.37,49.18,0.42,7.2,22.11,5.77,29.86,9.63,139.22,0.22,9.82,16.99,0.11,4.3,13.46,1.38,127.77,1269.28,3.41,5.4,0.69,1868.95,105.14,0.3,9.41,3.02,0.26,0.35,3.47,88.96,34.75,6.91,120.5,0.41,49.79,3.98,1246.22,4.11,3584.42,4.34,24.92,5.6,4.69,32.0,7.87,13.83,3.77,3.25,2.2,49.14,0.24,2.72,2.75,0.08,2.86,313.14,2.48,3.63,3.0,3.92,327.5,2.65,42.75,3.29,4.94,121.87,11.34,0.15,7.07,6.98,34.34,85.5,89.23,32.29,6.88,29.0,517.96,1.91,0.13,132.22,7.26,16.7,0.37,0.78,45.47,14.27,21.35,0.31,135.2,330.65,577.17,0.22,0.61,0.25,0.45,274.23,268.9,1.35,4.96,98.23,1.6,0.13,5.31,150.03,0.01,51.55,3.32,1142.8,6158.13,11.21,8.64
1992,1.6,0.65,48.0,1.21,0.5,228.79,1.27,0.96,325.53,195.08,0.45,3.11,4.75,1.96,17.04,234.78,0.69,1.7,1.68,1.26,4.15,328.19,4.18,10.35,3.36,1.08,592.39,1.41,1.88,45.96,426.92,58.42,0.46,8.56,22.15,6.91,34.81,8.23,152.92,0.23,11.61,18.09,0.13,4.25,10.49,1.53,112.53,1401.47,3.71,5.59,0.71,2131.57,116.22,0.31,10.44,3.28,0.23,0.37,2.26,104.27,38.73,7.08,124.81,0.55,55.92,4.03,1320.16,3.54,3908.81,5.31,24.92,5.7,5.84,33.88,7.0,15.52,4.91,3.71,1.8,59.17,0.28,2.83,3.02,0.09,3.22,363.16,2.74,2.64,3.43,3.4,362.96,2.92,41.65,3.39,2.44,130.84,12.45,0.15,8.04,7.16,35.97,94.34,107.59,34.63,7.65,25.12,460.29,2.03,0.13,137.09,7.77,16.6,0.43,0.68,52.13,15.5,21.35,0.32,146.96,355.53,630.92,0.24,0.67,0.28,0.4,284.32,279.92,2.16,4.6,111.45,1.69,0.14,5.44,158.46,0.01,54.24,2.86,1179.66,6520.33,12.88,6.75
1993,1.73,1.19,49.95,1.01,0.54,236.74,1.2,1.08,312.14,190.38,1.57,3.09,5.2,2.06,16.28,224.72,0.75,2.27,1.82,1.26,4.16,368.3,4.11,10.83,3.2,0.94,577.17,1.28,1.46,49.3,444.73,66.45,0.45,9.58,23.0,6.59,40.87,10.71,143.2,0.25,13.08,18.94,0.14,4.3,8.83,1.64,89.21,1322.82,3.54,4.38,0.76,2071.32,108.81,0.31,11.4,3.28,0.24,0.45,1.88,120.35,40.12,6.22,63.74,1.03,52.42,4.62,1064.96,5.44,4454.14,5.61,23.41,5.0,7.94,30.66,7.6,15.93,5.67,4.06,2.07,66.89,0.32,2.82,2.71,0.1,3.26,500.74,2.57,2.73,3.25,3.66,353.55,2.82,46.78,3.05,2.68,120.58,12.49,0.15,8.78,7.25,34.83,96.05,95.01,36.92,7.16,26.36,435.08,1.97,0.13,132.97,7.37,16.83,0.47,0.77,60.6,16.52,21.35,0.33,147.2,392.67,525.08,0.26,0.68,0.29,0.43,212.95,272.24,1.64,4.26,128.89,1.23,0.14,4.67,180.17,0.01,55.63,3.22,1061.39,6858.56,15.0,6.56
1994,2.16,1.88,42.54,1.02,0.59,257.44,1.32,1.25,322.81,203.54,1.19,3.26,5.57,2.15,14.93,244.88,0.77,1.6,1.87,1.26,4.26,525.37,4.09,9.7,1.9,0.93,578.14,0.85,1.18,57.01,564.32,81.7,0.32,10.49,22.54,7.43,47.85,5.82,156.16,0.26,14.64,22.71,0.1,4.2,6.93,1.83,103.3,1393.98,3.68,4.19,0.75,2205.07,116.6,0.33,12.98,3.38,0.24,0.54,2.17,135.81,43.17,6.39,71.84,3.99,57.1,5.33,1099.22,5.45,4998.8,6.24,21.25,5.79,9.6,28.61,7.7,17.7,6.31,3.52,1.18,74.48,0.36,2.08,3.0,0.11,3.56,527.81,2.72,2.8,3.67,4.07,379.13,3.04,55.31,1.94,3.56,127.13,12.92,0.15,9.37,7.87,44.88,110.8,99.69,39.69,7.37,30.07,395.08,0.75,0.22,135.17,5.03,16.83,0.49,0.91,73.69,20.16,21.35,0.42,153.51,463.62,530.56,0.3,0.71,0.29,0.61,229.03,301.38,1.52,4.51,146.68,0.98,0.2,4.95,130.69,0.01,59.31,3.99,1140.49,7287.24,17.47,6.89
1995,2.37,2.39,41.76,1.18,0.58,258.03,1.47,1.32,368.14,241.04,2.42,3.43,5.85,2.22,13.97,288.03,0.82,2.17,2.03,1.87,4.73,769.33,4.73,18.98,2.38,1.0,604.03,1.12,1.45,73.45,734.55,92.51,0.4,11.58,22.64,9.93,60.15,5.64,185.01,0.27,16.64,24.43,0.14,4.5,7.66,1.97,134.19,1601.09,4.19,4.96,0.79,2585.79,136.88,0.34,14.66,3.69,0.25,0.62,2.81,144.65,46.43,7.12,96.42,12.89,69.14,104.89,1174.66,6.58,5545.56,6.73,20.37,5.78,11.72,25.54,7.87,20.85,7.05,3.84,1.4,88.71,0.4,2.71,3.46,0.12,4.04,360.07,3.13,2.9,3.98,4.4,452.3,3.63,63.92,2.3,4.71,152.03,13.8,0.16,9.57,9.06,53.31,142.29,118.12,42.65,8.14,37.44,395.54,1.29,0.22,143.34,6.33,16.83,0.51,0.87,87.81,25.84,21.35,0.51,171.74,566.58,614.61,0.31,0.76,0.32,0.69,267.31,352.84,1.23,5.26,169.28,1.31,0.21,5.33,169.49,0.01,65.74,5.76,1346.18,7639.75,19.3,7.11
1996,2.56,3.2,46.94,1.22,0.63,272.15,1.6,1.38,401.31,237.25,3.18,3.61,6.1,2.36,14.76,279.2,0.85,2.36,2.7,2.79,4.85,850.43,5.12,12.29,2.59,0.87,628.55,1.01,1.61,78.57,863.75,97.16,0.4,11.68,24.0,10.01,67.39,5.77,187.63,0.29,18.24,25.23,0.23,4.79,8.55,2.13,132.13,1605.68,4.17,5.69,0.85,2497.24,145.86,0.37,15.67,3.87,0.27,0.71,2.91,159.72,46.66,7.43,120.4,10.43,75.79,114.51,1312.43,7.39,4923.39,6.93,21.04,5.98,13.69,27.88,8.38,20.9,7.18,4.93,2.28,100.86,0.45,2.78,3.59,0.11,4.42,410.98,3.14,3.86,3.99,4.52,450.49,3.61,70.14,2.41,4.64,163.52,15.28,0.15,9.87,9.79,55.25,160.19,122.63,45.34,9.06,36.94,391.72,1.38,0.25,158.66,6.56,21.82,0.5,0.94,96.3,27.93,21.51,0.47,163.24,610.17,642.59,0.33,0.79,0.33,0.86,291.74,340.1,1.04,6.5,183.04,1.47,0.22,5.76,181.48,0.01,73.57,6.04,1421.62,8073.12,20.52,8.55
1997,2.95,2.26,48.18,1.18,0.68,292.86,1.64,1.53,435.61,212.79,3.96,6.33,6.35,2.5,14.13,252.71,0.87,2.27,2.93,3.67,5.02,883.21,5.2,11.32,2.45,0.97,654.99,0.94,1.54,85.73,961.6,106.66,0.36,12.61,24.03,9.55,62.18,6.09,173.54,0.3,20.02,28.16,0.44,5.15,8.59,2.09,126.91,1452.88,3.76,5.33,0.8,2211.99,143.16,0.39,17.79,3.78,0.27,0.75,3.34,177.35,47.3,7.57,113.92,20.76,82.86,118.86,1241.88,8.4,4492.45,7.25,22.17,6.53,15.75,30.7,10.12,19.56,7.27,4.26,2.66,100.01,0.51,2.7,3.72,0.11,4.19,500.41,2.84,4.65,4.15,4.92,416.81,3.29,66.08,2.29,3.91,161.36,15.84,0.15,10.68,9.97,58.15,159.36,117.02,48.19,11.3,35.57,404.93,1.85,0.29,165.96,6.04,25.68,0.56,0.85,100.12,27.71,20.76,0.71,168.98,569.75,590.08,0.37,0.81,0.35,0.93,268.15,294.79,0.92,7.68,150.18,1.5,0.21,5.74,189.83,0.01,78.84,6.27,1561.81,8577.55,23.97,8.53
1998,3.3,2.55,48.19,1.21,0.73,298.95,1.89,1.67,399.66,218.26,4.45,6.83,6.18,2.82,15.22,258.53,0.91,2.46,3.13,4.12,4.79,863.71,4.05,15.03,2.8,0.89,634.0,0.97,1.74,82.0,1029.04,98.44,0.37,13.68,25.73,10.25,66.81,6.22,176.99,0.32,21.67,27.98,0.37,5.67,7.82,1.65,134.04,1503.11,3.9,4.48,0.84,2238.99,144.43,0.45,19.4,3.59,0.21,0.72,3.72,168.89,48.71,8.5,110.28,20.62,90.2,120.06,1270.05,8.79,4098.36,7.91,22.14,7.17,17.25,27.25,11.24,20.15,6.8,4.4,1.75,72.17,0.54,2.92,3.96,0.11,4.17,526.5,2.93,5.26,3.87,4.86,438.01,3.56,56.23,2.64,3.77,154.16,14.0,0.16,11.58,9.26,55.5,174.69,123.95,54.09,10.26,41.69,270.96,1.99,0.27,146.78,6.51,19.46,0.61,0.67,85.73,29.86,22.15,0.81,152.98,383.33,619.21,0.38,0.88,0.37,1.11,270.81,303.46,1.32,12.27,113.68,1.59,0.19,6.04,275.97,0.01,75.67,6.58,1655.06,9062.82,25.39,6.4
1999,3.7,3.21,48.64,1.24,0.77,283.52,1.85,1.72,389.39,217.26,4.58,7.68,6.62,2.95,12.14,258.25,0.98,3.68,3.32,4.69,5.48,599.64,4.6,13.63,3.39,0.81,678.41,1.0,1.53,75.6,1094.0,86.19,0.38,14.25,23.63,10.5,65.17,4.71,177.97,0.33,22.14,19.65,0.62,5.76,7.7,1.94,135.26,1493.15,3.91,4.66,0.81,2194.95,142.59,0.48,18.32,3.46,0.22,0.69,4.15,165.77,49.07,8.98,113.85,36.88,98.89,120.92,1252.45,8.89,4635.98,8.15,16.87,7.53,17.39,35.98,10.97,21.9,6.55,4.28,1.78,79.15,0.59,3.44,4.16,0.11,4.34,600.23,2.91,5.98,3.87,5.03,447.05,3.65,58.76,2.54,3.86,162.28,15.59,0.15,12.13,8.84,50.19,170.03,127.47,57.84,12.39,35.95,195.91,2.16,0.26,161.72,6.59,19.39,0.62,0.67,86.28,30.46,22.71,0.5,151.52,497.51,634.91,0.41,0.92,0.39,0.89,274.07,297.87,1.09,12.71,126.67,1.58,0.2,6.81,256.39,0.01,84.45,6.0,1689.29,9631.17,23.98,6.86
2000,3.64,3.48,54.79,1.43,0.83,284.2,1.91,1.87,415.85,197.29,5.27,8.08,9.06,3.06,12.74,236.79,1.12,3.52,3.48,5.57,5.79,655.45,6.0,13.25,2.97,0.87,744.77,0.92,1.39,78.25,1211.35,99.89,0.35,15.01,21.81,9.99,61.83,19.09,164.16,0.33,24.31,18.33,1.05,5.69,8.24,1.68,126.02,1365.64,3.6,5.08,0.78,1947.98,130.46,0.52,19.29,3.0,0.37,0.71,6.81,171.67,47.22,9.03,109.59,48.36,100.21,136.04,1146.68,9.01,4968.36,8.46,18.29,7.96,17.26,38.27,11.52,21.23,6.77,4.63,1.74,93.79,0.62,2.96,4.32,0.12,4.66,707.91,2.65,5.66,3.92,5.49,417.48,3.42,52.62,2.24,3.77,171.25,19.51,0.16,12.3,8.86,51.74,172.22,118.61,61.7,17.76,37.25,259.71,2.07,0.26,189.51,6.01,6.88,0.61,0.64,96.07,29.24,20.29,0.56,151.75,576.18,598.36,0.42,0.93,0.43,0.95,262.84,279.22,0.86,13.38,126.39,1.49,0.2,8.15,274.3,0.02,104.34,6.19,1666.13,10250.95,22.82,6.69
