Year,afghanistan,albania,algeria,american-samoa,andorra,antigua-and-barbuda,argentina,armenia,aruba,australia,austria,azerbaijan,bahamas,bahrain,barbados,belarus,belgium,belize,benin,bermuda,botswana,brazil,british-virgin-islands,bulgaria,burkina-faso,burundi,canada,cayman-islands,central-african-republic,chad,chile,china,colombia,comoros,costa-rica,croatia,cuba,curacao,cyprus,democratic-republic-of-congo,denmark,dominica,dominican-republic,ecuador,equatorial-guinea,eritrea,estonia,ethiopia,faroe-islands,fiji,finland,france,french-polynesia,gabon,gambia,germany,gibraltar,greece,greenland,grenada,guam,guatemala,guinea,guyana,haiti,hong-kong,hungary,iceland,iran,iraq,ireland,isle-of-man,israel,italy,jamaica,japan,jordan,kazakhstan,kuwait,latvia,lebanon,liberia,libya,liechtenstein,lithuania,luxembourg,macao,madagascar,malawi,malaysia,maldives,mali,mali_pop_data,malta,marshall-islands,mauritius,mexico,monaco,montenegro,mozambique,namibia,nauru,nepal,netherlands,new-caledonia,new-zealand,niger,north-korea,north-macedonia,northern-mariana-islands,norway,oman,palau,panama,paraguay,peru,poland,portugal,puerto-rico,qatar,romania,russia,rwanda,samoa,san-marino,saudi-arabia,senegal,serbia,seychelles,sierra-leone,singapore,slovenia,somalia,south-africa,south-korea,south-sudan,spain,suriname,sweden,switzerland,taiwan,tajikistan,tanzania,thailand,togo,tonga,trinidad-and-tobago,turkmenistan,turks-and-caicos-islands,tuvalu,uae,uganda,united-kingdom,united-states,uruguay,venezuela,yemen,zimbabwe
2023,42239854,2832439,45606480,43914,80088,94298,45773884,2777970,106277,26439111,8958960,10412651,412623,1485509,281995,9498238,11686140,410825,13712828,64069,2675352,216422446,31538,6687717,23251485,13238559,38781291,69310,5742315,18278568,19629590,1425671352,52085168,852075,5212173,4008617,11194449,192077,1260138,102262808,5910913,73040,11332972,18190484,1714671,3748901,1322765,126527060,53270,936375,5545475,64756584,308872,2436566,2773168,83294633,32688,10341277,56643,126183,172952,18092026,14190612,813834,11724763,7491609,10156239,375318,89172767,45504560,5056935,84710,9174520,58870762,2825544,123294513,11337052,19606633,4310108,1830211,5353930,5418377,6888388,39584,2718352,654768,704149,30325732,20931751,34308525,521021,23293698,23293698,535064,41996,1300557,128455567,36297,626485,33897354,2604172,12780,30896590,17618299,292991,5228100,27202843,26160821,2085679,49796,5474360,4644384,18058,4468087,6861524,34352719,41026067,10247605,3260314,2716391,19892812,144444359,14094683,225681,33642,36947025,17763163,7149077,107660,8791092,6014723,2119675,18143378,60414495,51784059,11088796,47519628,623236,10612086,8796669,23923276,10143543,67438106,71801279,9053799,107773,1534937,6516100,46062,11396,9516871,48582334,67736802,339996563,3423108,28838499,34449825,16665409
2022,41128771,2842321,44903225,44273,79824,93763,45510318,2780469,106445,26177413,8939617,10358074,409984,1472233,281635,9534954,11655930,405272,13352864,64184,2630296,215313498,31305,6781953,22673762,12889576,38454327,68706,5579144,17723315,19603733,1425887337,51874024,836774,5180829,4030358,11212191,191163,1251488,99010212,5882261,72737,11228821,18001000,1674908,3684032,1326062,123379924,53090,929766,5540745,64626628,306279,2388992,2705992,83369843,32649,10384971,56466,125438,171774,17843908,13859341,808726,11584996,7488865,9967308,372899,88550570,44496122,5023109,84519,9038309,59037474,2827377,123951692,11285869,19397998,4268873,1850651,5489739,5302681,6812341,39327,2750055,647599,695168,29611714,20405317,33938221,523787,22593590,22593590,533286,41569,1299469,127504125,36469,627082,32969518,2567012,12668,30547580,17564014,289950,5185288,26207977,26069416,2093599,49551,5434319,4576298,18055,4408581,6780744,34049588,39857145,10270865,3252407,2695122,19659267,144713314,13776698,222382,33660,36408820,17316449,7221365,107118,8605718,5975689,2119844,17597511,59893885,51815810,10913164,47558630,618040,10549347,8740472,23893394,9952787,65497748,71697030,8848699,106858,1531044,6430770,45703,11312,9441129,47249585,67508936,338289857,3422794,28301696,33696614,16320537
2021,40099462,2854710,44177969,45035,79034,93219,45276780,2790974,106537,25921089,8922082,10312992,407906,1463265,281200,9578167,11611419,400031,12996895,64185,2588423,214326223,31122,6885868,22100683,12551213,38155012,68136,5457154,17179740,19493184,1425893465,51516562,821625,5153957,4060135,11256372,190338,1244188,95894118,5854240,72412,11117873,17797737,1634466,3620312,1328701,120283026,52889,924610,5535992,64531444,304032,2341179,2639916,83408554,32669,10445365,56243,124610,170534,17608483,13531906,804567,11447569,7494578,9709786,370335,87923432,43533592,4986526,84263,8900059,59240329,2827695,124612530,11148278,19196465,4250114,1873919,5592631,5193416,6735277,39039,2786651,639321,686607,28915653,19889742,33573874,521457,21904983,21904983,526748,42050,1298915,126705138,36686,627859,32077072,2530151,12511,30034989,17501696,287800,5129727,25252722,25971909,2103330,49481,5403021,4520471,18024,4351267,6703799,33715471,38307726,10290103,3256028,2688235,19328560,145102755,13461888,218764,33745,35950396,16876720,7296769,106471,8420641,5941060,2119410,17065581,59392255,51830139,10748272,47486935,612985,10467097,8691406,23859912,9750064,63588334,71601103,8644829,106017,1525663,6341855,45114,11204,9365145,45853778,67281039,336997624,3426260,28199867,32981641,15993524
2020,38972230,2866849,43451666,46189,77700,92664,45036032,2805608,106585,25670051,8907777,10284951,406471,1477469,280693,9633740,11561717,394921,12643123,64031,2546402,213196304,30910,6979175,21522626,12220227,37888705,67311,5343020,16644701,19300315,1424929781,50930662,806166,5123105,4096869,11300698,189288,1237537,92853164,5825641,71995,10999664,17588595,1596049,3555868,1329444,117190911,52415,920422,5529468,64480053,301920,2292573,2573995,83328988,32709,10512232,56026,123663,169231,17362718,13205153,797202,11306801,7500958,9750573,366669,87290193,42556984,4946119,84046,8757489,59500579,2820436,125244761,10928721,18979243,4360444,1897052,5662923,5087584,6653942,38756,2820267,630399,676283,28225177,19377061,33199993,514438,21224040,21224040,515358,43413,1297828,125998302,36922,629048,31178239,2489098,12315,29348627,17434557,286403,5061133,24333639,25867467,2111072,49587,5379839,4543399,17972,4294396,6618695,33304756,38428366,10298192,3271564,2760385,19442038,145617329,13146362,214929,34007,35997107,16436120,7358005,105530,8233970,5909869,2117641,16537016,58801927,51844690,10606227,47363807,607065,10368969,8638613,23821464,9543207,61704518,71475664,8442580,105254,1518147,6250438,44276,11069,9287289,44404611,67059474,335942003,3429086,28490453,32284046,15669666
2019,37769499,2873883,42705368,47321,76343,92117,44745520,2820602,106442,25357170,8879940,10232753,404557,1494188,280180,9673971,11510568,389095,12290444,63812,2499702,211782878,30610,7052532,20951639,11874838,37522584,66134,5209324,16126866,19039485,1421864031,50187406,790986,5084532,4129752,11316697,193107,1228836,89906890,5795878,71428,10881882,17343740,1553031,3498818,1327039,114120594,51681,918465,5521537,64399759,299717,2242785,2508883,83148141,32685,10574024,55931,122724,168624,17106338,12877539,798753,11160438,7496122,9771796,360774,86564202,41563520,4896019,83933,8607919,59727932,2813773,125791677,10698683,18754258,4441100,1916555,5781907,4985289,6569088,38482,2849083,619973,663653,27533134,18867337,32804020,504508,20567424,20567424,503635,44728,1296279,125085311,37034,630396,30285595,2446644,12132,28832496,17363262,285374,4959034,23443393,25755441,2114176,49858,5348279,4602768,17916,4232532,6530026,32824861,38493601,10289923,3292887,2807235,19524211,145742286,12835028,211905,34178,35827362,16000781,7401056,104373,8046828,5866405,2112901,15981300,58087055,51803829,10447666,47131372,600301,10267922,8575588,23777737,9337003,59872579,71307763,8243094,104951,1519955,6158420,43080,10956,9211657,42949080,66778659,334319671,3428409,28971683,31546691,15354608
2018,36686784,2877013,41927007,48424,75013,91626,44413596,2836557,105962,24979230,8840513,10152522,401906,1487340,279688,9695574,11448595,382066,11940683,63571,2451409,210166592,30335,7117431,20392723,11493472,37035254,64884,5094780,15604210,18701450,1417069468,49276961,776313,5040734,4160485,11328244,184722,1218831,87087355,5766686,70823,10765531,17015672,1502091,3445374,1322148,111129438,50955,918996,5515461,64277808,297606,2192012,2444916,82896696,32648,10633271,55931,121838,168678,16850176,12554864,785514,11012421,7481555,9776358,352946,85617562,40590700,4834507,83775,8456483,59877425,2811835,126255866,10459865,18538099,4317185,1935630,5950839,4889391,6477793,38181,2876128,607913,650991,26846541,18367883,32399271,489758,19934298,19934298,491586,45989,1295381,124013861,37029,631455,29423878,2405680,11924,28506712,17286042,284880,4838526,22577058,25638149,2113491,50304,5312320,4601157,17864,4165255,6443328,32203944,38521457,10289835,3319269,2766732,19606783,145652293,12531808,209701,34156,35018133,15574909,7433818,103101,7861281,5814537,2105924,15411094,57339635,51676900,10395329,46792043,593715,10162298,8514434,23726185,9128132,58090443,71127802,8046679,105150,1504709,6065066,41487,10865,9140169,41515395,66432993,332140037,3427042,29825653,30790513,15052184
2017,35643418,2879355,41136546,49463,73837,91119,44054616,2851923,105439,24590334,8797496,10071567,399020,1456834,279187,9707876,11384489,374693,11596779,63275,2401840,208504960,30060,7182428,19835858,11155593,36554348,63581,4996741,15085884,18368577,1410275957,48351671,761664,4993842,4192467,11336405,171524,1208523,84283273,5737284,70403,10647244,16696944,1450694,3396933,1317549,108197950,50230,919019,5508140,64144086,295450,2140215,2381182,82624374,32602,10692228,55928,120921,168606,16578723,12240789,763252,10863543,7461519,9788941,343632,84505076,39621162,4771854,83580,8309257,60004032,2808376,126662472,10215381,18314814,4124904,1954862,6109252,4796631,6378261,37889,2904450,596283,638609,26169542,17881167,31975806,472442,19311355,19311355,479497,47187,1294741,122839258,37044,632438,28569441,2364534,11682,28183426,17207198,284349,4746252,21737922,25516321,2111979,50729,5277392,4541854,17837,4096063,6355404,31605486,38532812,10307530,3366408,2711755,19698853,145452536,12230339,207630,34056,34193122,15157793,7464880,101811,7677565,5764487,2098392,14864221,56641209,51511639,10658226,46584170,587559,10058190,8451687,23665024,8925525,56267032,70898202,7852795,105415,1478607,5968383,39844,10828,9068296,40127085,66064804,329791231,3422200,30563433,30034389,14751101
2016,34636207,2881063,40339329,50448,72540,90564,43668241,2865835,104874,24195701,8736487,9976248,395976,1409661,278649,9708110,11316836,367313,11260085,63068,2352416,206859578,29739,7245975,19275498,10903327,36113532,62255,4904177,14592585,18083879,1401889681,47625955,746232,4945205,4223751,11342012,170739,1197881,81430977,5706857,70075,10527592,16439585,1398927,3365287,1315926,105293228,49500,918371,5495219,63989319,293541,2086206,2317206,82331423,32565,10749742,55916,119966,168346,16291004,11930985,759087,10713849,7435927,9815104,335675,83306231,38697943,4715788,83450,8159009,60118626,2802695,126993857,9964656,18078553,4048085,1973476,6258619,4706097,6282196,37609,2933673,583351,626688,25501941,17405624,31526418,454252,18700106,18700106,467705,48329,1293911,121519221,37071,633264,27696493,2323352,11437,27861186,17124505,283748,4668081,20921743,25389611,2110196,51133,5236590,4398070,17816,4026336,6266615,31132779,38532113,10332753,3432740,2595166,19797820,145109157,11930899,205544,33834,33416270,14751356,7493288,100508,7493913,5711933,2090020,14292847,56422274,51309984,11066105,46473315,581453,9953317,8372898,23594471,8725318,54401802,70607037,7661354,105707,1469330,5868561,38246,10852,8994263,38748299,65655203,327210198,3413766,30741464,29274002,14452704
2015,33753499,2882481,39543154,51368,71746,89941,43257065,2878595,104257,23820236,8642421,9863480,392697,1362142,278083,9700609,11248303,359871,10932783,63144,2305171,205188205,29366,7309253,18718019,10727148,35732126,60911,4819333,14140274,17870124,1393715448,47119728,730216,4895242,4254815,11339894,169572,1187280,78656904,5677796,70007,10405832,16195902,1346973,3340006,1314657,102471895,48816,917200,5479461,63809769,291787,2028517,2253133,82073226,32520,10806641,55895,118980,167978,16001107,11625998,755031,10563757,7399838,9844246,331060,81790841,37757813,4665760,83593,8007778,60232906,2794445,127250933,9494246,17835909,3908743,1991955,6398940,4612329,6192235,37355,2963765,569408,615239,24850912,16938942,31068833,435582,18112907,18112907,456579,49410,1293153,120149897,36760,633966,26843246,2282704,11185,27610325,17041107,283032,4590590,20128124,25258015,2107962,51514,5190356,4191776,17794,3957099,6177950,30711863,38553146,10365435,3497335,2414573,19906079,144668389,11642959,203571,33570,32749848,14356181,7519496,99240,7314773,5650018,2080862,13763906,55876504,50994401,11194299,46431342,575475,9849349,8281732,23512136,8524063,52542823,70294397,7473229,106122,1460177,5766431,36538,10877,8916899,37477356,65224364,324607776,3402818,30529716,28516545,14154937
2014,32716210,2884102,38760168,52217,71621,89236,42824054,2889930,103594,23469579,8546066,9741880,389131,1311134,277493,9693739,11176723,352335,10614844,63355,2260376,203459650,28971,7372141,18169842,10494913,35404608,59559,4798734,13697126,17687108,1385189668,46677947,714612,4844288,4283972,11332026,168025,1176995,76035588,5650653,69371,10282115,15957994,1295183,3323425,1314526,99746766,48465,915560,5461440,63588491,289873,1966855,2189019,81858825,32452,10862969,55953,117972,167543,15713740,11333365,751115,10412740,7352183,9867901,327644,79961672,36746488,4622167,83896,7863846,60322791,2784543,127476735,8658026,17592298,3761584,2011039,6274342,4519398,6097764,37096,2994927,556069,604167,24215976,16477966,30606459,416738,17551814,17551814,446441,50419,1292113,118755887,36110,634294,26038704,2243001,10940,27462106,16954081,280798,4514195,19372014,25126131,2105291,51856,5137923,4009267,17796,3888793,6090721,30353951,38581872,10408372,3560010,2214465,19995836,144285070,11368451,201757,33389,32125564,13970308,7543960,98001,7140688,5570502,2074917,13309235,54729551,50558043,11213284,46464551,569682,9747508,8187791,23422513,8326348,50814552,69960943,7288383,106626,1450661,5663152,34985,10899,8835951,36336539,64773504,322033964,3391662,30193258,27753304,13855753
